Date,Time,Site,Location,Client Location ID,Device,Country,Region,Segment,Cost,Currency,Weight,Unit,Portions,Quantity,Duration,Food Item,Food Item Category,Loss Reason,Source,Disposition,Container,Stage of Processing,Operator,Event Order No.,Edited
11/10/2019,21:15:48,Vanderbilt University,Commons,Commons,Vanderbilt University - Commons - FS,US,NORAM,College/University,193.94,USD,125.12,lb,,1,6,Post Consumer Food,None,Post Consumer,Post Consumer,Compost,Green Bin,Post-Consumer,Post-Consumer,,0
11/10/2019,20:14:09,Vanderbilt University,Commons,Commons,Vanderbilt University - Commons #2 - T2,US,NORAM,College/University,3.17,USD,5.2,lb,,1,13,Rice,Starch,Overproduction - Line,Chef's Table,Compost,No Pan,Pre-Consumer,James D,,0
11/10/2019,20:13:19,Vanderbilt University,Commons,Commons,Vanderbilt University - Commons #2 - T2,US,NORAM,College/University,28.88,USD,8.7,lb,,1,16,Beef - Ground,Meat-Protein,Overproduction - Line,Kitchen,Compost,Large Round,Pre-Consumer,James D,,0
11/10/2019,20:11:52,Vanderbilt University,Commons,Commons,Vanderbilt University - Commons #2 - T2,US,NORAM,College/University,45.82,USD,13.8,lb,,1,15,Beef - Ground,Meat-Protein,Overproduction - Line,Chef's Table,Compost,Large Round,Pre-Consumer,James D,,0
11/10/2019,20:10:39,Vanderbilt University,Commons,Commons,Vanderbilt University - Commons #2 - T2,US,NORAM,College/University,4.91,USD,2.2,lb,,1,16,Bread,Bread-Cereal,Overproduction - Line,Chef's Table,Compost,Casserole Dish,Pre-Consumer,James D,,0
11/10/2019,20:10:16,Vanderbilt University,Commons,Commons,Vanderbilt University - Commons #2 - T2,US,NORAM,College/University,8.25,USD,3.7,lb,,1,63,Bread,Bread-Cereal,Overproduction - Line,Chef's Table,Compost,Large Round,Pre-Consumer,James D,,0
11/10/2019,20:08:51,Vanderbilt University,Commons,Commons,Vanderbilt University - Commons #2 - T2,US,NORAM,College/University,10.78,USD,4.4,lb,,1,16,Chicken - Boneless,Meat-Protein,Overproduction - Line,Stir-Fry,Compost,Large Round,Pre-Consumer,James D,,0
11/10/2019,20:08:31,Vanderbilt University,Commons,Commons,Vanderbilt University - Commons #2 - T2,US,NORAM,College/University,9.8,USD,4,lb,,1,119,Chicken - Boneless,Meat-Protein,Overproduction - Line,Stir-Fry,Compost,Large Round,Pre-Consumer,James D,,0
11/10/2019,19:00:41,Vanderbilt University,Commons,Commons,Vanderbilt University - Commons #2 - T2,US,NORAM,College/University,0.01,USD,0.1,lb,0.01199,1,25,Coffee,Beverage,Trimmings & By-Products,Beverage Station,Compost,No Pan,Pre-Consumer,Lakysha C,,0
11/10/2019,15:22:56,Vanderbilt University,Commons,Commons,Vanderbilt University - Commons #2 - T2,US,NORAM,College/University,7.81,USD,3.5,lb,,1,26,Bread,Bread-Cereal,Overproduction - Line,Chef's Table,Compost,Medium Shallow Round,Pre-Consumer,James D,,0
11/10/2019,15:21:46,Vanderbilt University,Commons,Commons,Vanderbilt University - Commons #2 - T2,US,NORAM,College/University,0.74,USD,0.7,lb,,1,25,Eggs,Dairy,Overproduction - Line,Chef's Table,Compost,Large Round,Pre-Consumer,James D,,0
11/10/2019,15:20:40,Vanderbilt University,Commons,Commons,Vanderbilt University - Commons #2 - T2,US,NORAM,College/University,15.77,USD,5.4,lb,,1,33,Pork,Meat-Protein,Overproduction - Line,Chef's Table,Compost,Medium Round,Pre-Consumer,James D,,0
11/10/2019,15:19:33,Vanderbilt University,Commons,Commons,Vanderbilt University - Commons #2 - T2,US,NORAM,College/University,3.02,USD,6.7,lb,,1,57,Hot Cereal,Bread-Cereal,Overproduction - Line,Chef's Table,Compost,Large Round,Pre-Consumer,James D,,0
11/10/2019,15:18:27,Vanderbilt University,Commons,Commons,Vanderbilt University - Commons #2 - T2,US,NORAM,College/University,5.88,USD,1.3,lb,,1,92,Turkey,Meat-Protein,Overproduction - Line,Chef's Table,Compost,Large Round,Pre-Consumer,James D,,0
11/10/2019,14:41:48,Vanderbilt University,Commons,Commons,Vanderbilt University - Commons #1 - T1,US,NORAM,College/University,1.08,USD,7.1,lb,,1,12,Vegetables,Fruit-Vegetable,Trimmings & By-Products,Kitchen,Compost,Sheet/Roasting Pan,Pre-Consumer,Harlow T,,0
