Date,Time,Site,Location,Client Location ID,Device,Country,Region,Segment,Cost,Currency,Weight,Unit,Portions,Quantity,Duration,Food Item,Food Item Category,Loss Reason,Source,Disposition,Container,Stage of Processing,Operator,Event Order No.,Edited
11/6/2019,21:41:33,Vanderbilt University,Commons,Commons,Vanderbilt University - Commons - FS,US,NORAM,College/University,289.12,USD,186.53,lb,,1,19,Post Consumer Food,None,Post Consumer,Post Consumer,Compost,Green Bin,Post-Consumer,Post-Consumer,,0
11/6/2019,13:56:41,Vanderbilt University,Commons,Commons,Vanderbilt University - Commons #1 - T1,US,NORAM,College/University,3.78,USD,24.9,lb,,1,14,Vegetables,Fruit-Vegetable,Trimmings & By-Products,Kitchen,Compost,Sheet/Roasting Pan,Pre-Consumer,Harlow T,,0
11/6/2019,13:24:54,Vanderbilt University,Commons,Commons,Vanderbilt University - Commons #1 - T1,US,NORAM,College/University,4.01,USD,15.9,lb,,1,18,Melons,Fruit-Vegetable,Trimmings & By-Products,Kitchen,Compost,Quarter Hotel Pan (4-inch) Metal,Pre-Consumer,Kip B,,0
11/6/2019,13:18:02,Vanderbilt University,Commons,Commons,Vanderbilt University - Commons - FS,US,NORAM,College/University,140.84,USD,90.86,lb,,1,4,Post Consumer Food,None,Post Consumer,Post Consumer,Compost,Green Bin,Post-Consumer,Post-Consumer,,0
11/6/2019,13:00:46,Vanderbilt University,Commons,Commons,Vanderbilt University - Commons #1 - T1,US,NORAM,College/University,3.25,USD,21.4,lb,,1,23,Vegetables,Fruit-Vegetable,Trimmings & By-Products,Kitchen,Compost,Sheet/Roasting Pan,Pre-Consumer,Harlow T,,0
11/6/2019,12:04:02,Vanderbilt University,Commons,Commons,Vanderbilt University - Commons #1 - T1,US,NORAM,College/University,2.95,USD,11.7,lb,,1,24,Melons,Fruit-Vegetable,Trimmings & By-Products,Kitchen,Compost,Third Hotel Pan (4-inch) Metal,Pre-Consumer,Kip B,,0
11/6/2019,11:06:41,Vanderbilt University,Commons,Commons,Vanderbilt University - Commons #1 - T1,US,NORAM,College/University,3.78,USD,8.4,lb,,1,19,Hot Cereal,Bread-Cereal,Overproduction - Line,Bowls,Compost,Soup Container-Large,Pre-Consumer,John W,,0
11/6/2019,11:06:19,Vanderbilt University,Commons,Commons,Vanderbilt University - Commons #1 - T1,US,NORAM,College/University,2.14,USD,3.5,lb,,1,102,Rice,Starch,Overproduction - Line,Bowls,Compost,Soup Container-Large,Pre-Consumer,John W,,0
11/6/2019,10:50:39,Vanderbilt University,Commons,Commons,Vanderbilt University - Commons #2 - T2,US,NORAM,College/University,1.48,USD,1.4,lb,,1,16,Eggs,Dairy,Overproduction - Line,Stir-Fry,Compost,Half Hotel Pan (4-inch) Metal,Pre-Consumer,Lynn H,,0
11/6/2019,10:50:14,Vanderbilt University,Commons,Commons,Vanderbilt University - Commons #2 - T2,US,NORAM,College/University,4.09,USD,1.4,lb,,1,23,Pork,Meat-Protein,Overproduction - Holding,Stir-Fry,Compost,Third Hotel Pan (2.5-inch) Metal,Pre-Consumer,Lynn H,,0
11/6/2019,10:49:42,Vanderbilt University,Commons,Commons,Vanderbilt University - Commons #2 - T2,US,NORAM,College/University,3.43,USD,3.3,lb,,1,14,Mixed Plate-Other,Mixed Foods,Overproduction - Line,Stir-Fry,Compost,Third Hotel Pan (2.5-inch) Metal,Pre-Consumer,Lynn H,,0
11/6/2019,10:39:20,Vanderbilt University,Commons,Commons,Vanderbilt University - Commons #2 - T2,US,NORAM,College/University,2.52,USD,5.6,lb,,1,11,Hot Cereal,Bread-Cereal,Overproduction - Holding,Grill,Compost,Medium Round,Pre-Consumer,Pamela H,,0
11/6/2019,10:38:22,Vanderbilt University,Commons,Commons,Vanderbilt University - Commons #2 - T2,US,NORAM,College/University,6.78,USD,6.4,lb,,1,10,Eggs,Dairy,Overproduction - Holding,Grill,Compost,Medium Round,Pre-Consumer,Pamela H,,0
11/6/2019,10:37:55,Vanderbilt University,Commons,Commons,Vanderbilt University - Commons #2 - T2,US,NORAM,College/University,2.23,USD,2.3,lb,,1,63,Potatoes,Starch,Overproduction - Holding,Grill,Compost,Medium Round,Pre-Consumer,Pamela H,,0
11/6/2019,10:31:20,Vanderbilt University,Commons,Commons,Vanderbilt University - Commons #2 - T2,US,NORAM,College/University,5.83,USD,5.5,lb,,1,19,Eggs,Dairy,Overproduction - Holding,Stir-Fry,Compost,Half Hotel Pan (4-inch) Metal,Pre-Consumer,Lynn H,,0
11/6/2019,9:53:23,Vanderbilt University,Commons,Commons,Vanderbilt University - Commons #1 - T1,US,NORAM,College/University,0.32,USD,2.1,lb,,1,14,Vegetables,Fruit-Vegetable,Trimmings & By-Products,Kitchen,Compost,Full Hotel Pan (2.5-inch) Metal,Pre-Consumer,Peggy P,,0
11/6/2019,9:52:40,Vanderbilt University,Commons,Commons,Vanderbilt University - Commons #1 - T1,US,NORAM,College/University,6.3,USD,18.2,lb,,1,15,Fruit,Fruit-Vegetable,Trimmings & By-Products,Kitchen,Compost,Full Hotel Pan (2.5-inch) Metal,Pre-Consumer,Peggy P,,0
11/6/2019,8:52:47,Vanderbilt University,Commons,Commons,Vanderbilt University - Commons #1 - T1,US,NORAM,College/University,4.18,USD,5.5,lb,,1,20,Vegetables,Fruit-Vegetable,Inventory - Spoiled/Dated,Bowls,Compost,Half Hotel Pan (4-inch) Metal,Pre-Consumer,Harlow T,,0
11/6/2019,8:51:58,Vanderbilt University,Commons,Commons,Vanderbilt University - Commons #1 - T1,US,NORAM,College/University,3.04,USD,4,lb,,1,40,Vegetables,Fruit-Vegetable,Inventory - Spoiled/Dated,Bowls,Compost,Quarter Hotel Pan (4-inch) Metal,Pre-Consumer,Harlow T,,0
11/6/2019,8:30:27,Vanderbilt University,Commons,Commons,Vanderbilt University - Commons #2 - T2,US,NORAM,College/University,7.01,USD,4.05,lb,,1,32,Fruit,Fruit-Vegetable,Inventory - Spoiled/Dated,Bowls,Compost,Shotgun Pan (4-inch) Metal,Pre-Consumer,Ahmed S,,0
11/6/2019,8:08:30,Vanderbilt University,Commons,Commons,Vanderbilt University - Commons #1 - T1,US,NORAM,College/University,2.9,USD,11.5,lb,,1,19,Melons,Fruit-Vegetable,Trimmings & By-Products,Kitchen,Compost,Full Hotel Pan (2.5-inch) Metal,Pre-Consumer,Peggy P,,0
11/6/2019,7:50:05,Vanderbilt University,Commons,Commons,Vanderbilt University - Commons #2 - T2,US,NORAM,College/University,4.08,USD,2.36,lb,,1,33,Fruit,Fruit-Vegetable,Overproduction - Holding,Bowls,Compost,Shotgun Pan (2.5-inch) Metal,Pre-Consumer,Brenay W,,0
11/6/2019,7:45:27,Vanderbilt University,Commons,Commons,Vanderbilt University - Commons #1 - T1,US,NORAM,College/University,0.55,USD,1.6,lb,,1,13,Fruit,Fruit-Vegetable,Trimmings & By-Products,Dessert Station,Compost,No Pan,Pre-Consumer,Jennifer B,,0
11/6/2019,7:32:58,Vanderbilt University,Commons,Commons,Vanderbilt University - Commons #1 - T1,US,NORAM,College/University,6.8,USD,27,lb,,1,77,Melons,Fruit-Vegetable,Trimmings & By-Products,Kitchen,Compost,Third Hotel Pan (4-inch) Metal,Pre-Consumer,Kip B,,0
11/6/2019,7:00:04,Vanderbilt University,Commons,Commons,Vanderbilt University - Commons #1 - T1,US,NORAM,College/University,5.54,USD,16,lb,,1,18,Fruit,Fruit-Vegetable,Trimmings & By-Products,Kitchen,Compost,Full Hotel Pan (2.5-inch) Metal,Pre-Consumer,Peggy P,,0
11/6/2019,6:16:55,Vanderbilt University,Commons,Commons,Vanderbilt University - Commons #1 - T1,US,NORAM,College/University,13.7,USD,6.2,lb,,1,24,Cookie,Desserts,Handling,Dessert Station,Compost,White Melamine Platter,Pre-Consumer,Lorraine B,,0
11/6/2019,6:13:18,Vanderbilt University,Commons,Commons,Vanderbilt University - Commons #1 - T1,US,NORAM,College/University,0.91,USD,6,lb,,1,14,Vegetables,Fruit-Vegetable,Trimmings & By-Products,Kitchen,Compost,Full Hotel Pan (2.5-inch) Metal,Pre-Consumer,Peggy P,,0
