Date,Time,Site,Location,Client Location ID,Device,Country,Region,Segment,Cost,Currency,Weight,Unit,Portions,Quantity,Duration,Food Item,Food Item Category,Loss Reason,Source,Disposition,Container,Stage of Processing,Operator,Event Order No.,Edited
11/7/2019,21:50:56,Vanderbilt University,Commons,Commons,Vanderbilt University - Commons - FS,US,NORAM,College/University,261.45,USD,168.68,lb,,1,13,Post Consumer Food,None,Post Consumer,Post Consumer,Compost,Green Bin,Post-Consumer,Post-Consumer,,0
11/7/2019,14:45:45,Vanderbilt University,Commons,Commons,Vanderbilt University - Commons #2 - T2,US,NORAM,College/University,5.8,USD,4,lb,,1,18,Sauce,Soup-Sauce-Gravy,Overproduction - Line,Pasta Station,Compost,Medium Deep Round,Pre-Consumer,Leroy S,,0
11/7/2019,14:44:56,Vanderbilt University,Commons,Commons,Vanderbilt University - Commons #2 - T2,US,NORAM,College/University,2.32,USD,1.6,lb,,1,21,Sauce,Soup-Sauce-Gravy,Overproduction - Line,Pasta Station,Compost,Medium Deep Round,Pre-Consumer,Leroy S,,0
11/7/2019,14:44:14,Vanderbilt University,Commons,Commons,Vanderbilt University - Commons #2 - T2,US,NORAM,College/University,0.99,USD,1.3,lb,,1,34,Vegetables,Fruit-Vegetable,Overproduction - Line,Pasta Station,Compost,Medium Deep Round,Pre-Consumer,Leroy S,,0
11/7/2019,14:38:01,Vanderbilt University,Commons,Commons,Vanderbilt University - Commons #2 - T2,US,NORAM,College/University,1.29,USD,1.7,lb,,1,13,Vegetables,Fruit-Vegetable,Overproduction - Line,Chef's Table,Compost,Casserole Dish,Pre-Consumer,Brenay W,,0
11/7/2019,14:37:03,Vanderbilt University,Commons,Commons,Vanderbilt University - Commons #2 - T2,US,NORAM,College/University,2.7,USD,1.1,lb,,1,60,Chicken - Boneless,Meat-Protein,Overproduction - Line,Chef's Table,Compost,Casserole Dish,Pre-Consumer,Brenay W,,0
11/7/2019,14:36:00,Vanderbilt University,Commons,Commons,Vanderbilt University - Commons #2 - T2,US,NORAM,College/University,6.3,USD,1.6,lb,,1,45,Fish,Meat-Protein,Overproduction - Line,Chef's Table,Compost,Large Round,Pre-Consumer,Brenay W,,0
11/7/2019,13:23:35,Vanderbilt University,Commons,Commons,Vanderbilt University - Commons - FS,US,NORAM,College/University,275.74,USD,177.9,lb,,1,5,Post Consumer Food,None,Post Consumer,Post Consumer,Compost,Green Bin,Post-Consumer,Post-Consumer,,0
11/7/2019,12:27:59,Vanderbilt University,Commons,Commons,Vanderbilt University - Commons #1 - T1,US,NORAM,College/University,0.5,USD,3.3,lb,,1,26,Vegetables,Fruit-Vegetable,Trimmings & By-Products,Omelet,Compost,Half Hotel Pan (2.5-inch) Metal,Pre-Consumer,Peggy P,,0
11/7/2019,12:20:45,Vanderbilt University,Commons,Commons,Vanderbilt University - Commons #1 - T1,US,NORAM,College/University,10.41,USD,30.1,lb,,1,15,Fruit,Fruit-Vegetable,Trimmings & By-Products,Kitchen,Compost,Sixth Pan (6-inch) Metal,Pre-Consumer,Kip B,,0
11/7/2019,10:54:21,Vanderbilt University,Commons,Commons,Vanderbilt University - Commons #1 - T1,US,NORAM,College/University,1.59,USD,2.6,lb,,1,15,Rice,Starch,Overproduction - Line,Bowls,Compost,Soup Container-Large,Pre-Consumer,John W,,0
11/7/2019,10:53:30,Vanderbilt University,Commons,Commons,Vanderbilt University - Commons #1 - T1,US,NORAM,College/University,1.53,USD,3.4,lb,,1,16,Hot Cereal,Bread-Cereal,Overproduction - Line,Bowls,Compost,Soup Container-Large,Pre-Consumer,John W,,0
11/7/2019,10:51:46,Vanderbilt University,Commons,Commons,Vanderbilt University - Commons #1 - T1,US,NORAM,College/University,3,USD,1.3,lb,,1,21,Bakery-Pastry,Bread-Cereal,Overproduction - Line,Dessert Station,Compost,White Melamine Platter,Pre-Consumer,Lorraine B,,0
